,0,1
0,"[0, 0, 0, 0]",0.0
1,"[1, 4, 3, 1]",1.0
2,"[5, 3, 3, 2]",1.0
3,"[3, 1, 2, 2]",0.0
4,"[0, 2, 2, 3]",0.0
5,"[4, 3, 3, 1]",1.0
6,"[4, 4, 4, 1]",1.0
7,"[4, 3, 3, 1]",1.0
8,"[5, 0, 3, 3]",0.0
9,"[7, 4, 4, 1]",1.0
10,"[0, 0, 0, 0]",0.0
11,"[6, 4, 2, 1]",1.0
12,"[3, 3, 4, 1]",1.0
13,"[4, 4, 4, 1]",1.0
14,"[3, 1, 4, 1]",0.0
15,"[0, 0, 0, 0]",0.0
16,"[5, 2, 3, 1]",1.0
17,"[3, 1, 1, 1]",0.0
18,"[3, 3, 3, 1]",1.0
19,"[4, 0, 0, 3]",0.0
20,"[6, 3, 5, 2]",0.0
21,"[3, 3, 3, 1]",1.0
22,"[2, 0, 0, 2]",0.0
23,"[2, 1, 0, 2]",0.0
24,"[5, 3, 4, 2]",1.0
25,"[6, 2, 11, 23]",0.0
26,"[2, 3, 3, 1]",1.0
27,"[2, 3, 3, 1]",1.0
28,"[5, 3, 1, 2]",1.0
29,"[0, 0, 0, 0]",0.0
30,"[1, 1, 0, 3]",0.0
31,"[5, 4, 2, 1]",1.0
32,"[0, 0, 0, 0]",0.0
33,"[5, 2, 0, 1]",0.0
34,"[4, 3, 3, 1]",1.0
35,"[1, 1, 0, 2]",0.0
36,"[1, 2, 0, 1]",0.0
37,"[1, 3, 2, 1]",1.0
38,"[7, 3, 3, 2]",1.0
39,"[3, 2, 2, 1]",1.0
40,"[1, 2, 1, 2]",0.0
41,"[2, 3, 4, 2]",1.0
42,"[0, 0, 0, 0]",0.0
43,"[7, 1, 4, 1]",1.0
44,"[4, 4, 4, 1]",1.0
45,"[0, 0, 0, 0]",0.0
46,"[5, 3, 3, 1]",1.0
47,"[9, 0, 4, 2]",0.0
48,"[4, 0, 1, 2]",0.0
49,"[3, 0, 1, 3]",0.0
50,"[5, 2, 3, 1]",1.0
51,"[2, 2, 3, 1]",1.0
52,"[1, 0, 4, 5]",0.0
53,"[4, 1, 0, 2]",0.0
54,"[5, 2, 5, 2]",1.0
55,"[0, 0, 0, 0]",0.0
56,"[0, 0, 0, 0]",0.0
57,"[0, 0, 0, 0]",0.0
58,"[6, 3, 3, 1]",1.0
59,"[6, 2, 3, 2]",0.0
60,"[0, 0, 0, 0]",0.0
61,"[4, 2, 3, 1]",1.0
62,"[1, 0, 0, 3]",0.0
63,"[6, 3, 5, 1]",1.0
64,"[2, 1, 0, 1]",0.0
65,"[2, 3, 4, 1]",1.0
66,"[2, 1, 1, 2]",0.0
67,"[4, 1, 4, 6]",0.0
68,"[5, 4, 3, 1]",1.0
69,"[0, 0, 0, 0]",0.0
70,"[3, 3, 4, 1]",1.0
71,"[0, 0, 0, 0]",0.0
72,"[4, 1, 1, 1]",0.0
73,"[2, 1, 1, 1]",0.0
74,"[4, 4, 3, 1]",1.0
75,"[5, 1, 3, 3]",0.0
76,"[2, 4, 3, 1]",1.0
77,"[2, 3, 1, 2]",0.0
78,"[5, 1, 1, 1]",0.0
79,"[2, 0, 3, 1]",0.0
80,"[4, 4, 5, 2]",0.0
81,"[3, 0, 0, 1]",0.0
82,"[1, 3, 3, 1]",1.0
83,"[3, 1, 5, 1]",0.0
84,"[11, 1, 2, 10]",0.0
85,"[3, 4, 3, 1]",1.0
86,"[2, 3, 3, 1]",1.0
87,"[2, 1, 4, 2]",0.0
88,"[12, 2, 4, 12]",0.0
89,"[3, 2, 2, 1]",1.0
90,"[2, 1, 1, 3]",0.0
91,"[5, 2, 2, 1]",1.0
92,"[2, 0, 5, 5]",0.0
93,"[3, 3, 2, 1]",1.0
94,"[4, 2, 4, 1]",1.0
95,"[1, 3, 2, 2]",0.0
96,"[2, 4, 0, 2]",0.0
97,"[4, 3, 5, 1]",1.0
98,"[3, 3, 0, 2]",0.0
99,"[2, 4, 2, 1]",1.0
100,"[0, 1, 3, 2]",0.0
101,"[2, 0, 0, 5]",0.0
102,"[4, 3, 3, 1]",1.0
103,"[3, 1, 1, 1]",0.0
104,"[0, 0, 0, 0]",0.0
105,"[6, 4, 3, 1]",1.0
106,"[3, 2, 4, 1]",1.0
107,"[0, 0, 0, 0]",0.0
108,"[0, 0, 0, 0]",0.0
109,"[2, 0, 0, 2]",0.0
110,"[2, 3, 4, 1]",1.0
111,"[0, 0, 0, 0]",0.0
112,"[4, 2, 4, 1]",1.0
113,"[4, 0, 0, 4]",0.0
